Timestamp,Plate,Authorized
2025-08-18 00:20:33,UNKNOWN,False
2025-08-18 00:20:34,ABC844IGI-ISLAHABAD,False
2025-08-18 00:20:35,ABC844CT-ISLAUADAD,False
2025-08-18 00:20:35,ABC844ICI-ISLAUABAD,False
2025-08-18 00:20:36,ABC844ICT-ISLAUABAD,False
2025-08-18 00:20:36,ABC844UCT-ISLAHABAD,False
2025-08-18 00:20:36,ABC;844ICI-ISLAUABAD,False
2025-08-18 00:20:37,ABC844ICI-ISLAUABAD,False
2025-08-18 00:20:37,ABC844CT-ISLAUABAD,False
2025-08-18 00:20:38,ABC844JCT-ISLAABAD,False
2025-08-18 00:20:38,ABC844ICI-ISLAUABAD,False
2025-08-18 00:20:38,ABC844ICT-ISLAUABAD,False
2025-08-18 00:20:39,ABC844JCT-ISLAVABAD,False
2025-08-18 00:20:39,ABC;844ICI-ISLALABAD,False
2025-08-18 00:20:39,ABC844ICI-ISLAUABAD,False
2025-08-18 00:20:40,ABC844ICI-ISLAHABAD,False
2025-08-18 00:20:41,1W,False
2025-08-18 00:20:42,BC844,False
2025-08-18 00:20:42,ABC844,False
2025-08-18 00:20:43,ABC844ICK-USLAUABAD,False
2025-08-18 00:20:43,ABC844ICI-USLAMADAD,False
2025-08-18 00:20:44,ABC844ISK-ELALABAD,False
2025-08-18 00:20:45,ABC844IEKUSLAUAUAD,False
2025-08-18 00:20:45,ABC844WEK-ELAUADAD,False
2025-08-18 00:20:45,ABC844IEKULAUADAD,False
2025-08-18 00:20:46,ABC844ICI-USLAHABAD,False
2025-08-18 00:20:47,ABC844IC-ULAHABAD,False
2025-08-18 00:20:53,UNKNOWN,False
2025-08-18 00:20:54,UNKNOWN,False
2025-08-18 00:20:54,UNKNOWN,False
2025-08-18 00:20:54,UNKNOWN,False
2025-08-18 00:20:55,UNKNOWN,False
2025-08-18 00:20:55,UNKNOWN,False
2025-08-18 00:20:55,UNKNOWN,False
2025-08-18 00:20:56,UNKNOWN,False
2025-08-18 00:20:57,AFT042,True
2025-08-18 00:20:58,AFT042,True
2025-08-18 00:20:58,AFT042,True
2025-08-18 00:20:58,AFT042,True
2025-08-18 00:20:59,AFT042,True
2025-08-18 00:20:59,AFT042,True
2025-08-18 00:20:59,AFT[42,False
2025-08-18 00:21:00,AFT042,True
2025-08-18 00:21:00,AFT042,True
2025-08-18 00:21:00,UNKNOWN,False
2025-08-18 00:21:09,LEC~,False
2025-08-18 00:21:09,LEF35G3,False
2025-08-18 00:21:10,LEF.135G3,False
2025-08-18 00:21:11,LEF923563,False
2025-08-18 00:21:12,LE35G3,False
2025-08-18 00:21:12,LEF135G3,False
2025-08-18 00:21:13,LEF.3563,False
2025-08-18 00:21:13,LEF135G3,False
2025-08-18 00:21:13,LEF./35G3,False
2025-08-18 00:21:14,LEF3503,False
2025-08-18 00:21:14,LEF3507,False
2025-08-18 00:21:15,LEF35G3,False
2025-08-18 00:21:15,LEF3503,False
2025-08-18 00:21:19,UNKNOWN,False
2025-08-18 00:21:20,UNKNOWN,False
2025-08-18 00:21:21,LECJ67946,False
2025-08-18 00:21:22,LEC187946,False
2025-08-18 00:21:22,LEC187946,False
2025-08-18 00:21:23,LEC187946,False
2025-08-18 00:21:23,LEC187946,False
2025-08-18 00:21:24,LEC187946,False
2025-08-18 00:21:24,LEC187946,False
2025-08-18 00:21:24,LEC187946,False
2025-08-18 00:21:25,LEC187946,False
2025-08-18 00:21:25,LEC187946,False
2025-08-18 00:21:25,LEC187946,False
2025-08-18 00:21:26,LEC187946,False
2025-08-18 00:21:27,UNKNOWN,False
2025-08-18 00:21:31,UNKNOWN,False
2025-08-18 00:21:39,AU%9,False
2025-08-18 00:21:40,AKD959,False
2025-08-18 00:21:40,AKD959,False
2025-08-18 00:21:41,AKD959,False
2025-08-18 00:21:41,AKD959,False
2025-08-18 00:21:41,AKD959,False
2025-08-18 00:21:42,AKD959,False
2025-08-18 00:21:42,AKD959,False
2025-08-18 00:21:42,AKD959,False
2025-08-18 00:21:42,AKD959,False
2025-08-18 00:21:43,AKD959,False
2025-08-18 00:21:46,UNKNOWN,False
2025-08-18 00:21:48,UNKNOWN,False
